timestamp,lop,gioitinh,gangtay,chieucao,smartphone,os,comanhinh
2019/09/18 1:21:33 PM GMT+7,K61,Nam,20,178,Co,Android,6
2019/09/18 1:22:45 PM GMT+7,K61CB,Nam,24,181,Co,Android,5.5
2019/09/18 1:23:16 PM GMT+7,k61cb,Nam,21,168,Co,iOS,6.1
2019/09/18 1:23:37 PM GMT+7,K62CQ-H,Nam,19,165,Co,Android,5.5
2019/09/18 1:23:39 PM GMT+7,QH2016-I/CQ-C-CLC,Nam,21.5,173,Co,Android,6.25
2019/09/18 1:23:39 PM GMT+7,K61-C-CLC,Nam,20,168,Co,Android,5.5
2019/09/18 1:23:42 PM GMT+7,INT3216,Nam,20,171,Co,Android,5.5
2019/09/18 1:23:43 PM GMT+7,K61-C-CLC,Nu,19,151,Co,iOS,5.5
2019/09/18 1:23:44 PM GMT+7,K61-CLCL,Nam,18,172,Co,Android,5.5
2019/09/18 1:23:45 PM GMT+7,QH-2016-I/CQ-C-CLC,Nam,22,182,Co,Android,5.5
2019/09/18 1:23:52 PM GMT+7,K61-CB,Nam,20,170,Co,Android,6.3
2019/09/18 1:23:52 PM GMT+7,K61CLC,Nu,18.6,160,Co,iOS,4.7
2019/09/18 1:23:59 PM GMT+7,int3216,Nam,20,165,Co,Android,6.3
2019/09/18 1:24:00 PM GMT+7,K61-C-CLC,Nam,21.5,166,Co,iOS,4.7
2019/09/18 1:24:00 PM GMT+7,K61CB,Nam,20.5,170,Co,Android,5
2019/09/18 1:24:04 PM GMT+7,K61-C-CLC,Nam,20,174,Co,Android,6.25
2019/09/18 1:24:11 PM GMT+7,K61-C-CLC,Nam,22,179,Co,Android,4.7
2019/09/18 1:24:12 PM GMT+7,K61-C-CLC,Nam,22,170,Co,Android,5.7
2019/09/18 1:24:24 PM GMT+7,QH-2016-I/CQ-C-CLC,Nam,20.05,169,Co,Android,6
2019/09/18 1:24:35 PM GMT+7,K61-CC,Nam,22,173,Co,Android,4.7
2019/09/18 1:24:36 PM GMT+7,K61CD,Nam,24.5,174,Co,iOS,4.7
2019/09/18 1:24:37 PM GMT+7,K61-CLC,Nam,20,165,Co,iOS,4.7
2019/09/18 1:24:44 PM GMT+7,K61cc,Nam,20,162,Co,Android,5
2019/09/18 1:24:56 PM GMT+7,K61-CB,Nam,21.8,170,Co,iOS,5.5
2019/09/18 1:24:56 PM GMT+7,K61-CD,Nam,23,170,Co,Android,5.5
2019/09/18 1:24:57 PM GMT+7,K61-CC,Nam,20,160,Co,Android,5.5
2019/09/18 1:25:07 PM GMT+7,K61CB,Nam,22,172,Co,Android,5
2019/09/18 1:25:13 PM GMT+7,K61CC,Nam,19,167,Co,iOS,4.5
2019/09/18 1:25:13 PM GMT+7,INT3216,Nu,18,159,Co,Android,6.3
2019/09/18 1:25:19 PM GMT+7,k62CD,Nu,18,156,Co,Android,5
